x [m],y [m],u [m/s],v [m/s],vorticity [1/s]
0.003190889537,0.003190889537,0.8196998616,-0.03177445831,21.16556708
0.003190889537,0.00562204347,0.7791189897,-0.02425966754,26.51502353
0.003190889537,0.008053197403,0.7284657809,-0.03558994016,33.02717114
0.003190889537,0.01048435134,0.6639806674,-0.0217230315,10.25610471
0.003190889537,0.01291550527,0.704661772,-0.003954928964,-4.644641067
0.003190889537,0.0153466592,0.7150555857,0.01458570532,9.65767164
0.003190889537,0.01777781314,0.709168945,0.01421806828,20.25605518
0.003190889537,0.02020896707,0.6873895174,0.006944177903,24.91597578
0.003190889537,0.022640121,0.6871335574,0.02557543889,-4.197089654
0.003190889537,0.02507127493,0.6892480377,0.03025809969,-19.15505347
0.003190889537,0.02750242887,0.7143792848,0.009582262403,-13.67293201
0.003190889537,0.0299335828,0.7476298313,-0.01403770561,-6.817931834
0.003190889537,0.03236473673,0.7712684536,-0.01053586158,11.34857867
0.003190889537,0.03479589067,0.745353627,0.02027662313,13.37534902
0.003190889537,0.0372270446,0.7284950174,0.04488155301,0.2728835663
0.003190889537,0.03965819853,0.7305366755,0.04388921881,-5.668154293
0.003190889537,0.04208935247,0.7324199426,0.04906522419,-8.995084256
0.003190889537,0.0445205064,0.7422696816,0.04837750143,-5.549704278
0.003190889537,0.04695166033,0.7291129973,0.04394737795,3.429109792
0.003190889537,0.04938281427,0.7132407532,0.03568442157,4.547625652
0.003190889537,0.0518139682,0.706149449,0.03555133091,-5.791763131
0.003190889537,0.05424512213,0.7356457663,0.05369125772,-19.83880812
0.003190889537,0.05667627607,0.7547312259,0.07235278697,-16.27279676
0.003190889537,0.05910743,0.7516338625,0.07526947049,-6.925540978
0.003190889537,0.06153858393,0.7497615584,0.06937145315,-4.335556432
0.003190889537,0.06396973786,0.7722555389,0.06749412592,-2.36081169
0.003190889537,0.0664008918,0.7752368199,0.07130594434,1.984925845
0.003190889537,0.06883204573,0.7843481171,0.07161968062,2.169265177
0.003190889537,0.07126319966,0.8073078591,0.06558470559,3.082258164
